Product ID,Recommended Price,Validity
Parle G 100g,4.8,12
Wheat Lokwan 1 kg,36.0,35
Rice Indrayani 62,62.0,32
Surf excel 500g,12.8,12
Surf excel 500g,324.0,12
Sunfeast Moms Magic 100g,463.4925,20
Jowar Maldandi 1 kg,45.0,20
Jowar D21 1 kg,6.08,20
Peanuts cleaned 1 kg,51.2,25
Peanuts clean white 1 kg,110.4,25
Arhar Dal Latur 1kg,12.8,20
Arhar Dal Fatka 1kg,287.685,20
Arhar Dal Gulbarga 1kg,463.4925,20
Rice Pune Kolam,59.0,32
Rice Ghoti,12.8,32
